count_point_id,year,local_authority_name,local_authority_code,road_name,road_type,road_category,all_motor_vehicles,latitude,longitude
8144,2018,Sheffield,E08000019,A57,Major,PA,12420,53.380831,-1.494399084
8144,2019,Sheffield,E08000019,A57,Major,PA,12531,53.380831,-1.494399084
8144,2020,Sheffield,E08000019,A57,Major,PA,9695,53.380831,-1.494399084
8144,2021,Sheffield,E08000019,A57,Major,PA,10638,53.380831,-1.494399084
8144,2022,Sheffield,E08000019,A57,Major,PA,11375,53.380831,-1.494399084
8144,2023,Sheffield,E08000019,A57,Major,PA,11568,53.380831,-1.494399084
8144,2024,Sheffield,E08000019,A57,Major,PA,13782,53.380831,-1.494399084
8710,2000,Sheffield,E08000019,A621,Major,PA,12581,53.32371861,-1.521046219
8710,2001,Sheffield,E08000019,A621,Major,PA,13513,53.32371861,-1.521046219
8710,2002,Sheffield,E08000019,A621,Major,PA,14096,53.32371861,-1.521046219
8710,2003,Sheffield,E08000019,A621,Major,PA,13741,53.32371861,-1.521046219
8710,2004,Sheffield,E08000019,A621,Major,PA,14070,53.32371861,-1.521046219
8710,2005,Sheffield,E08000019,A621,Major,PA,13570,53.32371861,-1.521046219
8710,2006,Sheffield,E08000019,A621,Major,PA,13568,53.32371861,-1.521046219
8710,2007,Sheffield,E08000019,A621,Major,PA,13379,53.32371861,-1.521046219
8710,2008,Sheffield,E08000019,A621,Major,PA,14449,53.32371861,-1.521046219
8710,2009,Sheffield,E08000019,A621,Major,PA,14730,53.32371861,-1.521046219
8710,2010,Sheffield,E08000019,A621,Major,PA,14770,53.32371861,-1.521046219
8710,2011,Sheffield,E08000019,A621,Major,PA,14857,53.32371861,-1.521046219
8710,2012,Sheffield,E08000019,A621,Major,PA,14701,53.32371861,-1.521046219
8710,2013,Sheffield,E08000019,A621,Major,PA,14676,53.32371861,-1.521046219
8710,2014,Sheffield,E08000019,A621,Major,PA,15107,53.32371861,-1.521046219
8710,2015,Sheffield,E08000019,A621,Major,PA,15448,53.32371861,-1.521046219
8710,2016,Sheffield,E08000019,A621,Major,PA,15783,53.32371861,-1.521046219
8710,2017,Sheffield,E08000019,A621,Major,PA,15761,53.32371861,-1.521046219
8710,2018,Sheffield,E08000019,A621,Major,PA,13242,53.32371861,-1.521046219
8710,2019,Sheffield,E08000019,A621,Major,PA,13373,53.32371861,-1.521046219
8710,2020,Sheffield,E08000019,A621,Major,PA,10311,53.32371861,-1.521046219
8710,2021,Sheffield,E08000019,A621,Major,PA,11331,53.32371861,-1.521046219
8710,2022,Sheffield,E08000019,A621,Major,PA,12116,53.32371861,-1.521046219
8710,2023,Sheffield,E08000019,A621,Major,PA,12332,53.32371861,-1.521046219
8710,2024,Sheffield,E08000019,A621,Major,PA,12519,53.32371861,-1.521046219
8744,2000,Sheffield,E08000019,A61,Major,PA,32655,53.37330091,-1.470048271
8744,2001,Sheffield,E08000019,A61,Major,PA,33158,53.37330091,-1.470048271
8744,2002,Sheffield,E08000019,A61,Major,PA,33105,53.37330091,-1.470048271
8744,2003,Sheffield,E08000019,A61,Major,PA,33042,53.37330091,-1.470048271
8744,2004,Sheffield,E08000019,A61,Major,PA,32995,53.37330091,-1.470048271
8744,2005,Sheffield,E08000019,A61,Major,PA,32372,53.37330091,-1.470048271
8744,2006,Sheffield,E08000019,A61,Major,PA,37156,53.37330091,-1.470048271
8744,2007,Sheffield,E08000019,A61,Major,PA,35924,53.37330091,-1.470048271
8744,2008,Sheffield,E08000019,A61,Major,PA,35497,53.37330091,-1.470048271
8744,2009,Sheffield,E08000019,A61,Major,PA,35301,53.37330091,-1.470048271
8744,2010,Sheffield,E08000019,A61,Major,PA,34400,53.37330091,-1.470048271
8744,2011,Sheffield,E08000019,A61,Major,PA,34369,53.37330091,-1.470048271
8744,2012,Sheffield,E08000019,A61,Major,PA,34014,53.37330091,-1.470048271
8744,2013,Sheffield,E08000019,A61,Major,PA,33853,53.37330091,-1.470048271
8744,2014,Sheffield,E08000019,A61,Major,PA,36165,53.37330091,-1.470048271
8744,2015,Sheffield,E08000019,A61,Major,PA,35715,53.37330091,-1.470048271
8744,2016,Sheffield,E08000019,A61,Major,PA,36443,53.37330091,-1.470048271
8744,2017,Sheffield,E08000019,A61,Major,PA,36350,53.37330091,-1.470048271
8744,2018,Sheffield,E08000019,A61,Major,PA,34196,53.37330091,-1.470048271
8744,2019,Sheffield,E08000019,A61,Major,PA,34522,53.37330091,-1.470048271
8744,2020,Sheffield,E08000019,A61,Major,PA,26647,53.37330091,-1.470048271
8744,2021,Sheffield,E08000019,A61,Major,PA,29264,53.37330091,-1.470048271
8744,2022,Sheffield,E08000019,A61,Major,PA,31297,53.37330091,-1.470048271
8744,2023,Sheffield,E08000019,A61,Major,PA,31847,53.37330091,-1.470048271
8744,2024,Sheffield,E08000019,A61,Major,PA,32330,53.37330091,-1.470048271
8758,2000,Sheffield,E08000019,A61,Major,PA,16314,53.37578987,-1.463794398
8758,2001,Sheffield,E08000019,A61,Major,PA,15993,53.37578987,-1.463794398
8758,2002,Sheffield,E08000019,A61,Major,PA,16316,53.37578987,-1.463794398
8758,2003,Sheffield,E08000019,A61,Major,PA,16041,53.37578987,-1.463794398
8758,2004,Sheffield,E08000019,A61,Major,PA,16126,53.37578987,-1.463794398
8758,2005,Sheffield,E08000019,A61,Major,PA,18283,53.37578987,-1.463794398
8758,2006,Sheffield,E08000019,A61,Major,PA,17932,53.37578987,-1.463794398
8758,2007,Sheffield,E08000019,A61,Major,PA,17706,53.37578987,-1.463794398
8758,2008,Sheffield,E08000019,A61,Major,PA,17354,53.37578987,-1.463794398
8758,2009,Sheffield,E08000019,A61,Major,PA,17672,53.37578987,-1.463794398
8758,2010,Sheffield,E08000019,A61,Major,PA,17806,53.37578987,-1.463794398
8758,2011,Sheffield,E08000019,A61,Major,PA,17999,53.37578987,-1.463794398
8758,2012,Sheffield,E08000019,A61,Major,PA,17854,53.37578987,-1.463794398
8758,2013,Sheffield,E08000019,A61,Major,PA,18514,53.37578987,-1.463794398
